post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,bulbie,"b"" ...all of the time.",0.0,0.0,0.0,0.0,0.0,0.961633,0.0
0,bulbie,It's crippling me.,0.0,0.931034,0.0,0.916667,0.0,0.0,0.0
0,bulbie,"""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,manekineko,"b"" Hi bulbie,   I share your pain!",0.0,0.0,0.0,0.936368,0.0,0.0,0.0
1,manekineko,"That's why I like forums, they make me feel less lonely and just the kindness of having someone reply with empathy and encouragement is enough to make me feel a little better.",0.0,0.0,0.0,0.0,0.0,0.0,0.851788
1,manekineko,Are you lonely because you're alone?,0.0,0.0,0.0,0.901707,0.0,0.0,0.0
1,manekineko,Or do you feel lonely even when you're around others?,0.0,0.0,0.0,0.862747,0.0,0.0,0.995403
1,manekineko,"I have social anxiety and depression which means meeting people is difficult, and I find that I don't 'play well with others' as my parents like to say.",0.0,0.0,0.0,0.759278,0.0,0.0,0.0
1,manekineko,What's making you feel so lonely?,0.0,0.0,0.0,0.9251,0.0,0.0,0.75152
1,manekineko,"x """,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,bulbie,"b"" I'm completely isolated here, that really doesn't help.",0.0,0.0,0.0,0.0,0.724236,0.874372,0.0
3,bulbie,Been single for over a year whn everyone seems to have someone.,0.0,0.0,0.0,0.0,0.0,0.0,0.946222
3,bulbie,No one wants me.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,bulbie,"""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Unloved,b' hiya Bulbie..,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Unloved,You are NOT alone in your feelings..,0.0,0.0,0.0,0.548702,0.0,0.0,0.0
4,Unloved,I Know how hard it can feel.. Admitting you feel alone is half the battle (i think).. Keep talking you can get through this x ',0.0,0.0,0.0,0.728888,0.60456,0.0,0.0
5,manekineko,"b"" You can talk to your friends here  AWWWWWWW, I'm sure that's not true!",0.0,0.0,0.554838,0.0,0.0,0.597577,0.0
5,manekineko,You are probably so down at the moment that you don't even realise when someone likes you or are showing an interest/checking you out!,0.0,0.0,0.0,0.0,0.0,0.0,0.939968
5,manekineko,"I know it can suck being single, especially if all your friends have someone, but take solace in the fact that I've been single for five years!",0.0,0.0,0.0,0.510933,0.574477,0.0,0.0
5,manekineko,"Not even a date...  Also, if you are single then you can take advantage of that time to do things that you want to do without the responsibility of having another to worry about.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,manekineko,"A year isn't a long time at all if you think about it, because looking for a person that is right for you is more important than being with someone to not be alone, and i'm sure once you have found a person like that, you wont regret holding out for more!",0.0,0.0,0.594743,0.0,0.641954,0.0,0.0
5,manekineko,"x """,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Sugarplum,"b"" You sound fantastic to me.",0.0,0.0,0.898099,0.0,0.0,0.0,0.0
7,Sugarplum,"I'd go out with you if I wasn't taken SPXx """,0.0,0.0,0.0,0.0,0.687768,0.0,0.0
8,bulbie,"b"" Thank you so much everyone.",0.0,0.0,0.877603,0.0,0.0,0.0,0.0
8,bulbie,"I'm hoping a visit home might pick me up, but right now its hard to see that.",0.0,0.0,0.0,0.0,0.0,0.0,0.873263
8,bulbie,"I've gotten a little flabby too and all that makes me think is who would want me with a body like this?  """,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Foxjo,"b"" Morning Bulbie, ive just logged on.",0.0,0.0,0.0,0.517176,0.0,0.0,0.91961
10,Foxjo,all the people above have given you great words of wisdom.,0.0,0.0,0.845236,0.0,0.0,0.825035,0.0
10,Foxjo,"its true, people find each other, fall in love with each other in more ways than just the physical sense.",0.0,0.0,0.784251,0.0,0.0,0.0,0.0
10,Foxjo,"friends too, cannot always be around but on-line there is always someone to talk to.",0.0,0.0,0.0,0.0,0.0,0.0,0.857227
10,Foxjo,thats why i love the forum.,0.0,0.0,0.831752,0.0,0.0,0.0,0.0
10,Foxjo,there is always someone 'here'.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Foxjo,"try and enjoy some of the sunshine this weekend, log on later and let us know how you are? hugs  Fox """,0.0,0.0,0.532285,0.0,0.0,0.0,0.681699
11,bulbie,"b"" So I'm out at McDonalds then going to get the shopping.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,bulbie,I feel like everyone is looking at me thinking I look a mess.,0.0,0.0,0.0,0.542606,0.890188,0.0,0.0
11,bulbie,"""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,bulbie,"b' I feel like I do, feel like my hairs a mess and I look ridiculous in this outfit, and that everyone can see my tummy.",0.0,0.0,0.0,0.561609,0.762356,0.0,0.0
13,bulbie,',0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,bulbie,b' Thanks Jaxie.,0.0,0.0,0.587559,0.0,0.0,0.0,0.0
14,bulbie,"I just wish I could meet someone who values me enough, who loves me enough to want to marry me.",0.0,0.0,0.644807,0.0,0.0,0.0,0.928936
14,bulbie,',0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Foxjo,"b' Hi Bulbie i met my husband through on-line dating, i fell in love with him over the internet.",0.0,0.0,0.714724,0.0,0.0,0.0,0.0
15,Foxjo,"talking to him, getting to know him first then meeting up with him, i too was painfully shy at meeting people so i felt for me it was a great way of getting to know someone first before dating them in person.",0.0,0.0,0.55891,0.0,0.0,0.0,0.0
15,Foxjo,obivously there are some men/women on there only out for one thing and they get it.,0.0,0.0,0.0,0.0,0.762356,0.0,0.615352
15,Foxjo,but you can usually suss that one out pretty quickly!,0.0,0.0,0.0,0.0,0.0,0.0,0.928936
